duracao, operacao, colecao
1,0.001977,put,CopyOnWriteArrayList
2,5.42E-4,put,CopyOnWriteArrayList
3,4.64E-4,put,CopyOnWriteArrayList
4,4.74E-4,put,CopyOnWriteArrayList
5,4.43E-4,put,CopyOnWriteArrayList
6,4.63E-4,put,CopyOnWriteArrayList
7,4.52E-4,put,CopyOnWriteArrayList
8,4.67E-4,put,CopyOnWriteArrayList
9,4.69E-4,put,CopyOnWriteArrayList
10,4.14E-4,put,CopyOnWriteArrayList
11,0.001126,put,CopyOnWriteArrayList
12,3.85E-4,put,CopyOnWriteArrayList
13,4.42E-4,put,CopyOnWriteArrayList
14,4.53E-4,put,CopyOnWriteArrayList
15,4.74E-4,put,CopyOnWriteArrayList
16,0.00101,put,CopyOnWriteArrayList
17,4.16E-4,put,CopyOnWriteArrayList
18,4.51E-4,put,CopyOnWriteArrayList
19,0.001294,put,CopyOnWriteArrayList
20,4.46E-4,put,CopyOnWriteArrayList
21,4.59E-4,put,CopyOnWriteArrayList
22,4.97E-4,put,CopyOnWriteArrayList
23,0.001266,put,CopyOnWriteArrayList
24,4.41E-4,put,CopyOnWriteArrayList
25,4.68E-4,put,CopyOnWriteArrayList
26,5.84E-4,put,CopyOnWriteArrayList
27,5.49E-4,put,CopyOnWriteArrayList
28,5.85E-4,put,CopyOnWriteArrayList
29,6.06E-4,put,CopyOnWriteArrayList
30,5.61E-4,put,CopyOnWriteArrayList
31,5.82E-4,put,CopyOnWriteArrayList
32,5.8E-4,put,CopyOnWriteArrayList
33,4.38E-4,put,CopyOnWriteArrayList
34,0.001237,put,CopyOnWriteArrayList
35,4.24E-4,put,CopyOnWriteArrayList
36,4.68E-4,put,CopyOnWriteArrayList
37,4.35E-4,put,CopyOnWriteArrayList
38,4.35E-4,put,CopyOnWriteArrayList
39,4.41E-4,put,CopyOnWriteArrayList
40,4.6E-4,put,CopyOnWriteArrayList
41,4.71E-4,put,CopyOnWriteArrayList
42,4.31E-4,put,CopyOnWriteArrayList
43,4.71E-4,put,CopyOnWriteArrayList
44,4.46E-4,put,CopyOnWriteArrayList
45,4.59E-4,put,CopyOnWriteArrayList
46,4.57E-4,put,CopyOnWriteArrayList
47,4.59E-4,put,CopyOnWriteArrayList
48,4.12E-4,put,CopyOnWriteArrayList
49,4.25E-4,put,CopyOnWriteArrayList
50,0.002097,put,CopyOnWriteArrayList
51,4.76E-4,put,CopyOnWriteArrayList
52,0.003922,put,CopyOnWriteArrayList
53,4.63E-4,put,CopyOnWriteArrayList
54,4.55E-4,put,CopyOnWriteArrayList
55,4.55E-4,put,CopyOnWriteArrayList
56,4.7E-4,put,CopyOnWriteArrayList
57,5.84E-4,put,CopyOnWriteArrayList
58,5.84E-4,put,CopyOnWriteArrayList
59,6.08E-4,put,CopyOnWriteArrayList
60,5.55E-4,put,CopyOnWriteArrayList
61,3.75E-4,put,CopyOnWriteArrayList
62,4.67E-4,put,CopyOnWriteArrayList
63,4.51E-4,put,CopyOnWriteArrayList
64,4.37E-4,put,CopyOnWriteArrayList
65,4.57E-4,put,CopyOnWriteArrayList
66,4.39E-4,put,CopyOnWriteArrayList
67,4.58E-4,put,CopyOnWriteArrayList
68,4.26E-4,put,CopyOnWriteArrayList
69,4.29E-4,put,CopyOnWriteArrayList
70,4.26E-4,put,CopyOnWriteArrayList
71,4.09E-4,put,CopyOnWriteArrayList
72,4.11E-4,put,CopyOnWriteArrayList
73,4.49E-4,put,CopyOnWriteArrayList
74,0.00132,put,CopyOnWriteArrayList
75,4.43E-4,put,CopyOnWriteArrayList
76,4.46E-4,put,CopyOnWriteArrayList
77,4.76E-4,put,CopyOnWriteArrayList
78,4.65E-4,put,CopyOnWriteArrayList
79,4.53E-4,put,CopyOnWriteArrayList
80,4.7E-4,put,CopyOnWriteArrayList
81,4.48E-4,put,CopyOnWriteArrayList
82,4.43E-4,put,CopyOnWriteArrayList
83,4.68E-4,put,CopyOnWriteArrayList
84,4.5E-4,put,CopyOnWriteArrayList
85,4.29E-4,put,CopyOnWriteArrayList
86,4.43E-4,put,CopyOnWriteArrayList
87,4.59E-4,put,CopyOnWriteArrayList
88,4.23E-4,put,CopyOnWriteArrayList
89,4.43E-4,put,CopyOnWriteArrayList
90,4.32E-4,put,CopyOnWriteArrayList
91,4.52E-4,put,CopyOnWriteArrayList
92,4.82E-4,put,CopyOnWriteArrayList
93,4.53E-4,put,CopyOnWriteArrayList
94,4.45E-4,put,CopyOnWriteArrayList
95,4.18E-4,put,CopyOnWriteArrayList
96,4.73E-4,put,CopyOnWriteArrayList
97,4.75E-4,put,CopyOnWriteArrayList
98,4.49E-4,put,CopyOnWriteArrayList
99,4.65E-4,put,CopyOnWriteArrayList
100,4.46E-4,put,CopyOnWriteArrayList
1,0.042814,get,CopyOnWriteArrayList
2,0.002503,get,CopyOnWriteArrayList
3,0.001341,get,CopyOnWriteArrayList
4,0.001193,get,CopyOnWriteArrayList
5,8.99E-4,get,CopyOnWriteArrayList
6,0.001041,get,CopyOnWriteArrayList
7,0.00109,get,CopyOnWriteArrayList
8,0.001107,get,CopyOnWriteArrayList
9,0.001135,get,CopyOnWriteArrayList
10,9.71E-4,get,CopyOnWriteArrayList
11,0.001066,get,CopyOnWriteArrayList
12,0.00114,get,CopyOnWriteArrayList
13,0.001078,get,CopyOnWriteArrayList
14,0.001178,get,CopyOnWriteArrayList
15,0.001058,get,CopyOnWriteArrayList
16,0.00109,get,CopyOnWriteArrayList
17,0.00102,get,CopyOnWriteArrayList
18,0.001015,get,CopyOnWriteArrayList
19,0.001102,get,CopyOnWriteArrayList
20,0.001026,get,CopyOnWriteArrayList
21,9.23E-4,get,CopyOnWriteArrayList
22,8.72E-4,get,CopyOnWriteArrayList
23,0.001086,get,CopyOnWriteArrayList
24,0.001168,get,CopyOnWriteArrayList
25,0.001135,get,CopyOnWriteArrayList
26,0.001009,get,CopyOnWriteArrayList
27,0.001042,get,CopyOnWriteArrayList
28,0.033983,get,CopyOnWriteArrayList
29,0.001203,get,CopyOnWriteArrayList
30,0.001,get,CopyOnWriteArrayList
31,0.001062,get,CopyOnWriteArrayList
32,0.001175,get,CopyOnWriteArrayList
33,0.001088,get,CopyOnWriteArrayList
34,0.001062,get,CopyOnWriteArrayList
35,0.001088,get,CopyOnWriteArrayList
36,0.001132,get,CopyOnWriteArrayList
37,0.001063,get,CopyOnWriteArrayList
38,0.001147,get,CopyOnWriteArrayList
39,9.88E-4,get,CopyOnWriteArrayList
40,0.00107,get,CopyOnWriteArrayList
41,9.16E-4,get,CopyOnWriteArrayList
42,0.001084,get,CopyOnWriteArrayList
43,9.5E-4,get,CopyOnWriteArrayList
44,9.98E-4,get,CopyOnWriteArrayList
45,0.001089,get,CopyOnWriteArrayList
46,0.001801,get,CopyOnWriteArrayList
47,0.001262,get,CopyOnWriteArrayList
48,0.001402,get,CopyOnWriteArrayList
49,0.001458,get,CopyOnWriteArrayList
50,0.001426,get,CopyOnWriteArrayList
51,0.001561,get,CopyOnWriteArrayList
52,0.001573,get,CopyOnWriteArrayList
53,0.001454,get,CopyOnWriteArrayList
54,0.001483,get,CopyOnWriteArrayList
55,0.001418,get,CopyOnWriteArrayList
56,0.001548,get,CopyOnWriteArrayList
57,0.001614,get,CopyOnWriteArrayList
58,0.001429,get,CopyOnWriteArrayList
59,0.001623,get,CopyOnWriteArrayList
60,0.001498,get,CopyOnWriteArrayList
61,0.001612,get,CopyOnWriteArrayList
62,0.001083,get,CopyOnWriteArrayList
63,0.001613,get,CopyOnWriteArrayList
64,0.001432,get,CopyOnWriteArrayList
65,0.001531,get,CopyOnWriteArrayList
66,0.00145,get,CopyOnWriteArrayList
67,0.001575,get,CopyOnWriteArrayList
68,0.001329,get,CopyOnWriteArrayList
69,0.001351,get,CopyOnWriteArrayList
70,0.001486,get,CopyOnWriteArrayList
71,0.00133,get,CopyOnWriteArrayList
72,0.001513,get,CopyOnWriteArrayList
73,0.001533,get,CopyOnWriteArrayList
74,0.001403,get,CopyOnWriteArrayList
75,0.001708,get,CopyOnWriteArrayList
76,0.001494,get,CopyOnWriteArrayList
77,0.001372,get,CopyOnWriteArrayList
78,0.00139,get,CopyOnWriteArrayList
79,0.001405,get,CopyOnWriteArrayList
80,0.001549,get,CopyOnWriteArrayList
