duracao, operacao, colecao
1,0.001977,put,SynchronizedList
2,5.42E-4,put,SynchronizedList
3,4.64E-4,put,SynchronizedList
4,4.74E-4,put,SynchronizedList
5,4.43E-4,put,SynchronizedList
6,4.63E-4,put,SynchronizedList
7,4.52E-4,put,SynchronizedList
8,4.67E-4,put,SynchronizedList
9,4.69E-4,put,SynchronizedList
10,4.14E-4,put,SynchronizedList
11,0.001126,put,SynchronizedList
12,3.85E-4,put,SynchronizedList
13,4.42E-4,put,SynchronizedList
14,4.53E-4,put,SynchronizedList
15,4.74E-4,put,SynchronizedList
16,0.00101,put,SynchronizedList
17,4.16E-4,put,SynchronizedList
18,4.51E-4,put,SynchronizedList
19,0.001294,put,SynchronizedList
20,4.46E-4,put,SynchronizedList
21,4.59E-4,put,SynchronizedList
22,4.97E-4,put,SynchronizedList
23,0.001266,put,SynchronizedList
24,4.41E-4,put,SynchronizedList
25,4.68E-4,put,SynchronizedList
26,5.84E-4,put,SynchronizedList
27,5.49E-4,put,SynchronizedList
28,5.85E-4,put,SynchronizedList
29,6.06E-4,put,SynchronizedList
30,5.61E-4,put,SynchronizedList
31,5.82E-4,put,SynchronizedList
32,5.8E-4,put,SynchronizedList
33,4.38E-4,put,SynchronizedList
34,0.001237,put,SynchronizedList
35,4.24E-4,put,SynchronizedList
36,4.68E-4,put,SynchronizedList
37,4.35E-4,put,SynchronizedList
38,4.35E-4,put,SynchronizedList
39,4.41E-4,put,SynchronizedList
40,4.6E-4,put,SynchronizedList
41,4.71E-4,put,SynchronizedList
42,4.31E-4,put,SynchronizedList
43,4.71E-4,put,SynchronizedList
44,4.46E-4,put,SynchronizedList
45,4.59E-4,put,SynchronizedList
46,4.57E-4,put,SynchronizedList
47,4.59E-4,put,SynchronizedList
48,4.12E-4,put,SynchronizedList
49,4.25E-4,put,SynchronizedList
50,0.002097,put,SynchronizedList
51,4.76E-4,put,SynchronizedList
52,0.003922,put,SynchronizedList
53,4.63E-4,put,SynchronizedList
54,4.55E-4,put,SynchronizedList
55,4.55E-4,put,SynchronizedList
56,4.7E-4,put,SynchronizedList
57,5.84E-4,put,SynchronizedList
58,5.84E-4,put,SynchronizedList
59,6.08E-4,put,SynchronizedList
60,5.55E-4,put,SynchronizedList
61,3.75E-4,put,SynchronizedList
62,4.67E-4,put,SynchronizedList
63,4.51E-4,put,SynchronizedList
64,4.37E-4,put,SynchronizedList
65,4.57E-4,put,SynchronizedList
66,4.39E-4,put,SynchronizedList
67,4.58E-4,put,SynchronizedList
68,4.26E-4,put,SynchronizedList
69,4.29E-4,put,SynchronizedList
70,4.26E-4,put,SynchronizedList
71,4.09E-4,put,SynchronizedList
72,4.11E-4,put,SynchronizedList
73,4.49E-4,put,SynchronizedList
74,0.00132,put,SynchronizedList
75,4.43E-4,put,SynchronizedList
76,4.46E-4,put,SynchronizedList
77,4.76E-4,put,SynchronizedList
78,4.65E-4,put,SynchronizedList
79,4.53E-4,put,SynchronizedList
80,4.7E-4,put,SynchronizedList
81,4.48E-4,put,SynchronizedList
82,4.43E-4,put,SynchronizedList
83,4.68E-4,put,SynchronizedList
84,4.5E-4,put,SynchronizedList
85,4.29E-4,put,SynchronizedList
86,4.43E-4,put,SynchronizedList
87,4.59E-4,put,SynchronizedList
88,4.23E-4,put,SynchronizedList
89,4.43E-4,put,SynchronizedList
90,4.32E-4,put,SynchronizedList
91,4.52E-4,put,SynchronizedList
92,4.82E-4,put,SynchronizedList
93,4.53E-4,put,SynchronizedList
94,4.45E-4,put,SynchronizedList
95,4.18E-4,put,SynchronizedList
96,4.73E-4,put,SynchronizedList
97,4.75E-4,put,SynchronizedList
98,4.49E-4,put,SynchronizedList
99,4.65E-4,put,SynchronizedList
100,4.46E-4,put,SynchronizedList
0.034086,get,SynchronizedList
0.002256,get,SynchronizedList
0.001908,get,SynchronizedList
0.001612,get,SynchronizedList
0.001715,get,SynchronizedList
0.001334,get,SynchronizedList
0.001545,get,SynchronizedList
0.001694,get,SynchronizedList
0.001454,get,SynchronizedList
0.001361,get,SynchronizedList
0.001456,get,SynchronizedList
0.001589,get,SynchronizedList
0.001515,get,SynchronizedList
0.001387,get,SynchronizedList
0.001394,get,SynchronizedList
0.001481,get,SynchronizedList
0.001477,get,SynchronizedList
0.001411,get,SynchronizedList
0.001568,get,SynchronizedList
0.001382,get,SynchronizedList
0.001541,get,SynchronizedList
0.00151,get,SynchronizedList
0.015564,get,SynchronizedList
0.002047,get,SynchronizedList
0.001845,get,SynchronizedList
0.002044,get,SynchronizedList
0.001965,get,SynchronizedList
0.002051,get,SynchronizedList
0.001831,get,SynchronizedList
0.001837,get,SynchronizedList
0.002146,get,SynchronizedList
0.001859,get,SynchronizedList
0.002172,get,SynchronizedList
0.002189,get,SynchronizedList
0.002062,get,SynchronizedList
0.002276,get,SynchronizedList
0.002173,get,SynchronizedList
0.002193,get,SynchronizedList
0.002177,get,SynchronizedList
0.001397,get,SynchronizedList
0.001325,get,SynchronizedList
0.001419,get,SynchronizedList
0.001425,get,SynchronizedList
0.001364,get,SynchronizedList
0.001438,get,SynchronizedList
0.001398,get,SynchronizedList
0.001386,get,SynchronizedList
0.001438,get,SynchronizedList
0.00142,get,SynchronizedList
0.008243,get,SynchronizedList
0.001359,get,SynchronizedList
0.001571,get,SynchronizedList
0.001508,get,SynchronizedList
0.001331,get,SynchronizedList
0.001323,get,SynchronizedList
0.001396,get,SynchronizedList
0.00158,get,SynchronizedList
0.001422,get,SynchronizedList
0.001483,get,SynchronizedList
0.001352,get,SynchronizedList
0.001515,get,SynchronizedList
0.001479,get,SynchronizedList
0.001488,get,SynchronizedList
0.001414,get,SynchronizedList
0.001502,get,SynchronizedList
0.00145,get,SynchronizedList
0.001339,get,SynchronizedList
0.001408,get,SynchronizedList
0.001428,get,SynchronizedList
0.001534,get,SynchronizedList
0.001426,get,SynchronizedList
0.001511,get,SynchronizedList
0.001346,get,SynchronizedList
0.001456,get,SynchronizedList
0.001429,get,SynchronizedList
0.001521,get,SynchronizedList
0.001365,get,SynchronizedList
0.001385,get,SynchronizedList
0.001388,get,SynchronizedList
0.001382,get,SynchronizedList
0.001337,get,SynchronizedList
0.001491,get,SynchronizedList
0.001488,get,SynchronizedList
0.001406,get,SynchronizedList
0.001408,get,SynchronizedList
0.001534,get,SynchronizedList
0.001601,get,SynchronizedList
0.001608,get,SynchronizedList
0.001477,get,SynchronizedList
0.001311,get,SynchronizedList
0.001588,get,SynchronizedList
0.001397,get,SynchronizedList
0.001625,get,SynchronizedList
0.001468,get,SynchronizedList
0.001364,get,SynchronizedList
0.001446,get,SynchronizedList
0.001466,get,SynchronizedList
0.001332,get,SynchronizedList
0.001584,get,SynchronizedList
0.001527,get,SynchronizedList
