execucao, duracao, operacao, colecao
1,0.232697,put,CopyOnWriteArrayList
2,0.00955,put,CopyOnWriteArrayList
3,0.007298,put,CopyOnWriteArrayList
4,0.006828,put,CopyOnWriteArrayList
5,0.006976,put,CopyOnWriteArrayList
6,0.006475,put,CopyOnWriteArrayList
7,0.006368,put,CopyOnWriteArrayList
8,0.00642,put,CopyOnWriteArrayList
9,0.006551,put,CopyOnWriteArrayList
10,0.006392,put,CopyOnWriteArrayList
11,0.006126,put,CopyOnWriteArrayList
12,0.006595,put,CopyOnWriteArrayList
13,0.0064,put,CopyOnWriteArrayList
14,0.006495,put,CopyOnWriteArrayList
15,0.00683,put,CopyOnWriteArrayList
16,0.006705,put,CopyOnWriteArrayList
17,0.006674,put,CopyOnWriteArrayList
18,0.006737,put,CopyOnWriteArrayList
19,0.006893,put,CopyOnWriteArrayList
20,0.006531,put,CopyOnWriteArrayList
21,0.007339,put,CopyOnWriteArrayList
22,0.007468,put,CopyOnWriteArrayList
23,0.007215,put,CopyOnWriteArrayList
24,0.007261,put,CopyOnWriteArrayList
25,0.096787,put,CopyOnWriteArrayList
26,0.00753,put,CopyOnWriteArrayList
27,0.010559,put,CopyOnWriteArrayList
28,0.006988,put,CopyOnWriteArrayList
29,0.007321,put,CopyOnWriteArrayList
30,0.007132,put,CopyOnWriteArrayList
31,0.006926,put,CopyOnWriteArrayList
32,0.007129,put,CopyOnWriteArrayList
33,0.006545,put,CopyOnWriteArrayList
34,0.006796,put,CopyOnWriteArrayList
35,0.006654,put,CopyOnWriteArrayList
36,0.006873,put,CopyOnWriteArrayList
37,0.006611,put,CopyOnWriteArrayList
38,0.006798,put,CopyOnWriteArrayList
39,0.008066,put,CopyOnWriteArrayList
40,0.007741,put,CopyOnWriteArrayList
41,0.007359,put,CopyOnWriteArrayList
42,0.006985,put,CopyOnWriteArrayList
43,0.006659,put,CopyOnWriteArrayList
44,0.00893,put,CopyOnWriteArrayList
45,0.006961,put,CopyOnWriteArrayList
46,0.006873,put,CopyOnWriteArrayList
47,0.009583,put,CopyOnWriteArrayList
48,0.006564,put,CopyOnWriteArrayList
49,0.006464,put,CopyOnWriteArrayList
50,0.006695,put,CopyOnWriteArrayList
51,0.00644,put,CopyOnWriteArrayList
52,0.006791,put,CopyOnWriteArrayList
53,0.006688,put,CopyOnWriteArrayList
54,0.006662,put,CopyOnWriteArrayList
55,0.006257,put,CopyOnWriteArrayList
56,0.006436,put,CopyOnWriteArrayList
57,0.006365,put,CopyOnWriteArrayList
58,0.00669,put,CopyOnWriteArrayList
59,0.006591,put,CopyOnWriteArrayList
60,0.00627,put,CopyOnWriteArrayList
61,0.006583,put,CopyOnWriteArrayList
62,0.009301,put,CopyOnWriteArrayList
63,0.006945,put,CopyOnWriteArrayList
64,0.008571,put,CopyOnWriteArrayList
65,0.006861,put,CopyOnWriteArrayList
66,0.006835,put,CopyOnWriteArrayList
67,0.006814,put,CopyOnWriteArrayList
68,0.006628,put,CopyOnWriteArrayList
69,0.006705,put,CopyOnWriteArrayList
70,0.006771,put,CopyOnWriteArrayList
71,0.00663,put,CopyOnWriteArrayList
72,0.006641,put,CopyOnWriteArrayList
73,0.006433,put,CopyOnWriteArrayList
74,0.006689,put,CopyOnWriteArrayList
75,0.006663,put,CopyOnWriteArrayList
76,0.006822,put,CopyOnWriteArrayList
77,0.006787,put,CopyOnWriteArrayList
78,0.006454,put,CopyOnWriteArrayList
79,0.006852,put,CopyOnWriteArrayList
80,0.006278,put,CopyOnWriteArrayList
81,0.006653,put,CopyOnWriteArrayList
82,0.007938,put,CopyOnWriteArrayList
83,0.006525,put,CopyOnWriteArrayList
84,0.006129,put,CopyOnWriteArrayList
85,0.01267,put,CopyOnWriteArrayList
86,0.0068,put,CopyOnWriteArrayList
87,0.006516,put,CopyOnWriteArrayList
88,0.006564,put,CopyOnWriteArrayList
89,0.006497,put,CopyOnWriteArrayList
90,0.006466,put,CopyOnWriteArrayList
91,0.006427,put,CopyOnWriteArrayList
92,0.006624,put,CopyOnWriteArrayList
93,0.006743,put,CopyOnWriteArrayList
94,0.006401,put,CopyOnWriteArrayList
95,0.008994,put,CopyOnWriteArrayList
96,0.036258,put,CopyOnWriteArrayList
97,0.034722,put,CopyOnWriteArrayList
98,0.007019,put,CopyOnWriteArrayList
99,0.006997,put,CopyOnWriteArrayList
100,0.015667,put,CopyOnWriteArrayList
1,0.062943,get,CopyOnWriteArrayList
2,0.00261,get,CopyOnWriteArrayList
3,0.002066,get,CopyOnWriteArrayList
4,0.001959,get,CopyOnWriteArrayList
5,0.001807,get,CopyOnWriteArrayList
6,0.002042,get,CopyOnWriteArrayList
7,0.001814,get,CopyOnWriteArrayList
8,0.001842,get,CopyOnWriteArrayList
9,0.002251,get,CopyOnWriteArrayList
10,0.001932,get,CopyOnWriteArrayList
11,0.002013,get,CopyOnWriteArrayList
12,0.00211,get,CopyOnWriteArrayList
13,0.001908,get,CopyOnWriteArrayList
14,0.002025,get,CopyOnWriteArrayList
15,0.001904,get,CopyOnWriteArrayList
16,0.001881,get,CopyOnWriteArrayList
17,0.002043,get,CopyOnWriteArrayList
18,0.002123,get,CopyOnWriteArrayList
19,0.002027,get,CopyOnWriteArrayList
20,0.002115,get,CopyOnWriteArrayList
21,0.001904,get,CopyOnWriteArrayList
22,0.001994,get,CopyOnWriteArrayList
23,0.002101,get,CopyOnWriteArrayList
24,0.002018,get,CopyOnWriteArrayList
25,0.002093,get,CopyOnWriteArrayList
26,0.001932,get,CopyOnWriteArrayList
27,0.002052,get,CopyOnWriteArrayList
28,0.03955,get,CopyOnWriteArrayList
29,0.002109,get,CopyOnWriteArrayList
30,0.001978,get,CopyOnWriteArrayList
31,0.001887,get,CopyOnWriteArrayList
32,0.001745,get,CopyOnWriteArrayList
33,0.001901,get,CopyOnWriteArrayList
34,0.001896,get,CopyOnWriteArrayList
35,0.002191,get,CopyOnWriteArrayList
36,0.012098,get,CopyOnWriteArrayList
37,0.001995,get,CopyOnWriteArrayList
38,0.002003,get,CopyOnWriteArrayList
39,0.001994,get,CopyOnWriteArrayList
40,0.001758,get,CopyOnWriteArrayList
41,0.001859,get,CopyOnWriteArrayList
42,0.002016,get,CopyOnWriteArrayList
43,0.002001,get,CopyOnWriteArrayList
44,0.001757,get,CopyOnWriteArrayList
45,0.002079,get,CopyOnWriteArrayList
46,0.002007,get,CopyOnWriteArrayList
47,0.002056,get,CopyOnWriteArrayList
48,0.001899,get,CopyOnWriteArrayList
49,0.001994,get,CopyOnWriteArrayList
50,0.002049,get,CopyOnWriteArrayList
51,0.002192,get,CopyOnWriteArrayList
52,0.001931,get,CopyOnWriteArrayList
53,0.002107,get,CopyOnWriteArrayList
54,0.002024,get,CopyOnWriteArrayList
55,0.002014,get,CopyOnWriteArrayList
56,0.001928,get,CopyOnWriteArrayList
57,0.002063,get,CopyOnWriteArrayList
58,0.001894,get,CopyOnWriteArrayList
59,0.002108,get,CopyOnWriteArrayList
60,0.001957,get,CopyOnWriteArrayList
61,0.002126,get,CopyOnWriteArrayList
62,0.001807,get,CopyOnWriteArrayList
63,0.002026,get,CopyOnWriteArrayList
64,0.002081,get,CopyOnWriteArrayList
65,0.001934,get,CopyOnWriteArrayList
66,0.002018,get,CopyOnWriteArrayList
67,0.0018,get,CopyOnWriteArrayList
68,0.002021,get,CopyOnWriteArrayList
69,0.002164,get,CopyOnWriteArrayList
70,0.002014,get,CopyOnWriteArrayList
71,0.001904,get,CopyOnWriteArrayList
72,0.002165,get,CopyOnWriteArrayList
73,0.002052,get,CopyOnWriteArrayList
74,0.001968,get,CopyOnWriteArrayList
75,0.001889,get,CopyOnWriteArrayList
76,0.00184,get,CopyOnWriteArrayList
77,0.001785,get,CopyOnWriteArrayList
78,0.001848,get,CopyOnWriteArrayList
79,0.001849,get,CopyOnWriteArrayList
80,0.001913,get,CopyOnWriteArrayList
81,0.001776,get,CopyOnWriteArrayList
82,0.001991,get,CopyOnWriteArrayList
83,0.002251,get,CopyOnWriteArrayList
84,0.001963,get,CopyOnWriteArrayList
85,0.002049,get,CopyOnWriteArrayList
86,0.001489,get,CopyOnWriteArrayList
87,0.002055,get,CopyOnWriteArrayList
88,0.002097,get,CopyOnWriteArrayList
89,0.001865,get,CopyOnWriteArrayList
90,0.00207,get,CopyOnWriteArrayList
91,0.002248,get,CopyOnWriteArrayList
92,0.002204,get,CopyOnWriteArrayList
93,0.002122,get,CopyOnWriteArrayList
94,0.001957,get,CopyOnWriteArrayList
95,0.001918,get,CopyOnWriteArrayList
96,0.001627,get,CopyOnWriteArrayList
97,0.001941,get,CopyOnWriteArrayList
98,0.002037,get,CopyOnWriteArrayList
99,0.00205,get,CopyOnWriteArrayList
100,0.002175,get,CopyOnWriteArrayList
