execucao, duracao, operacao, colecao
1,0.043874,put,SynchronizedHashMap
2,0.006335,put,SynchronizedHashMap
3,0.005229,put,SynchronizedHashMap
4,0.004252,put,SynchronizedHashMap
5,0.004243,put,SynchronizedHashMap
6,0.004515,put,SynchronizedHashMap
7,0.00432,put,SynchronizedHashMap
8,0.004721,put,SynchronizedHashMap
9,0.004571,put,SynchronizedHashMap
10,0.004265,put,SynchronizedHashMap
11,0.004693,put,SynchronizedHashMap
12,0.005037,put,SynchronizedHashMap
13,0.008139,put,SynchronizedHashMap
14,0.004824,put,SynchronizedHashMap
15,0.004949,put,SynchronizedHashMap
16,0.004573,put,SynchronizedHashMap
17,0.00487,put,SynchronizedHashMap
18,0.00459,put,SynchronizedHashMap
19,0.010124,put,SynchronizedHashMap
20,0.036024,put,SynchronizedHashMap
21,0.004707,put,SynchronizedHashMap
22,0.004423,put,SynchronizedHashMap
23,0.004424,put,SynchronizedHashMap
24,0.00502,put,SynchronizedHashMap
25,0.008758,put,SynchronizedHashMap
26,0.012449,put,SynchronizedHashMap
27,0.004842,put,SynchronizedHashMap
28,0.004605,put,SynchronizedHashMap
29,0.004402,put,SynchronizedHashMap
30,0.004863,put,SynchronizedHashMap
31,0.004529,put,SynchronizedHashMap
32,0.004321,put,SynchronizedHashMap
33,0.004432,put,SynchronizedHashMap
34,0.00418,put,SynchronizedHashMap
35,0.004629,put,SynchronizedHashMap
36,0.039964,put,SynchronizedHashMap
37,0.00479,put,SynchronizedHashMap
38,0.004415,put,SynchronizedHashMap
39,0.004442,put,SynchronizedHashMap
40,0.00931,put,SynchronizedHashMap
41,0.00459,put,SynchronizedHashMap
42,0.004485,put,SynchronizedHashMap
43,0.022639,put,SynchronizedHashMap
44,0.005003,put,SynchronizedHashMap
45,0.004304,put,SynchronizedHashMap
46,0.00437,put,SynchronizedHashMap
47,0.00428,put,SynchronizedHashMap
48,0.004454,put,SynchronizedHashMap
49,0.012073,put,SynchronizedHashMap
50,0.004584,put,SynchronizedHashMap
51,0.004537,put,SynchronizedHashMap
52,0.007511,put,SynchronizedHashMap
53,0.004541,put,SynchronizedHashMap
54,0.0042,put,SynchronizedHashMap
55,0.007774,put,SynchronizedHashMap
56,0.004706,put,SynchronizedHashMap
57,0.005948,put,SynchronizedHashMap
58,0.004776,put,SynchronizedHashMap
59,0.004333,put,SynchronizedHashMap
60,0.00426,put,SynchronizedHashMap
61,0.004744,put,SynchronizedHashMap
62,0.004303,put,SynchronizedHashMap
63,0.004246,put,SynchronizedHashMap
64,0.004432,put,SynchronizedHashMap
65,0.004239,put,SynchronizedHashMap
66,0.004284,put,SynchronizedHashMap
67,0.004306,put,SynchronizedHashMap
68,0.004449,put,SynchronizedHashMap
69,0.004134,put,SynchronizedHashMap
70,0.004014,put,SynchronizedHashMap
71,0.004488,put,SynchronizedHashMap
72,0.004178,put,SynchronizedHashMap
73,0.0071,put,SynchronizedHashMap
74,0.00448,put,SynchronizedHashMap
75,0.004736,put,SynchronizedHashMap
76,0.004261,put,SynchronizedHashMap
77,0.004279,put,SynchronizedHashMap
78,0.004216,put,SynchronizedHashMap
79,0.00435,put,SynchronizedHashMap
80,0.004409,put,SynchronizedHashMap
81,0.006432,put,SynchronizedHashMap
82,0.004639,put,SynchronizedHashMap
83,0.00449,put,SynchronizedHashMap
84,0.004467,put,SynchronizedHashMap
85,0.004335,put,SynchronizedHashMap
86,0.004147,put,SynchronizedHashMap
87,0.005752,put,SynchronizedHashMap
88,0.004136,put,SynchronizedHashMap
89,0.00426,put,SynchronizedHashMap
90,0.004088,put,SynchronizedHashMap
91,0.008357,put,SynchronizedHashMap
92,0.003903,put,SynchronizedHashMap
93,0.003722,put,SynchronizedHashMap
94,0.003866,put,SynchronizedHashMap
95,0.003877,put,SynchronizedHashMap
96,0.004171,put,SynchronizedHashMap
97,0.017218,put,SynchronizedHashMap
98,0.004264,put,SynchronizedHashMap
99,0.003832,put,SynchronizedHashMap
100,0.004242,put,SynchronizedHashMap
1,0.034333,get,SynchronizedHashMap
2,0.00262,get,SynchronizedHashMap
3,0.00252,get,SynchronizedHashMap
4,0.002168,get,SynchronizedHashMap
5,0.002138,get,SynchronizedHashMap
6,0.001985,get,SynchronizedHashMap
7,0.002001,get,SynchronizedHashMap
8,0.002043,get,SynchronizedHashMap
9,0.002577,get,SynchronizedHashMap
10,0.002415,get,SynchronizedHashMap
11,0.00242,get,SynchronizedHashMap
12,0.002322,get,SynchronizedHashMap
13,0.002053,get,SynchronizedHashMap
14,0.002105,get,SynchronizedHashMap
15,0.003114,get,SynchronizedHashMap
16,0.002314,get,SynchronizedHashMap
17,0.002186,get,SynchronizedHashMap
18,0.002192,get,SynchronizedHashMap
19,0.002185,get,SynchronizedHashMap
20,0.002196,get,SynchronizedHashMap
21,0.002225,get,SynchronizedHashMap
22,0.002093,get,SynchronizedHashMap
23,0.002083,get,SynchronizedHashMap
24,0.002155,get,SynchronizedHashMap
25,0.00217,get,SynchronizedHashMap
26,0.002098,get,SynchronizedHashMap
27,0.00213,get,SynchronizedHashMap
28,0.002009,get,SynchronizedHashMap
29,0.002057,get,SynchronizedHashMap
30,0.002183,get,SynchronizedHashMap
31,0.002022,get,SynchronizedHashMap
32,0.002112,get,SynchronizedHashMap
33,0.002096,get,SynchronizedHashMap
34,0.002273,get,SynchronizedHashMap
35,0.001914,get,SynchronizedHashMap
36,0.002003,get,SynchronizedHashMap
37,0.002309,get,SynchronizedHashMap
38,0.001971,get,SynchronizedHashMap
39,0.002138,get,SynchronizedHashMap
40,0.002187,get,SynchronizedHashMap
41,0.002094,get,SynchronizedHashMap
42,0.002152,get,SynchronizedHashMap
43,0.00225,get,SynchronizedHashMap
44,0.002375,get,SynchronizedHashMap
45,0.002166,get,SynchronizedHashMap
46,0.002061,get,SynchronizedHashMap
47,0.00221,get,SynchronizedHashMap
48,0.00199,get,SynchronizedHashMap
49,0.002033,get,SynchronizedHashMap
