execucao, duracao, operacao, colecao
1,0.007803,put,SynchronizedList
2,0.002208,put,SynchronizedList
3,0.001915,put,SynchronizedList
4,0.002087,put,SynchronizedList
5,0.001881,put,SynchronizedList
6,0.001963,put,SynchronizedList
7,0.001922,put,SynchronizedList
8,0.002008,put,SynchronizedList
9,0.001823,put,SynchronizedList
10,0.001835,put,SynchronizedList
11,0.004068,put,SynchronizedList
12,0.001868,put,SynchronizedList
13,0.001838,put,SynchronizedList
14,0.001977,put,SynchronizedList
15,0.002097,put,SynchronizedList
16,0.004142,put,SynchronizedList
17,0.002017,put,SynchronizedList
18,0.001827,put,SynchronizedList
19,0.004168,put,SynchronizedList
20,0.002097,put,SynchronizedList
21,0.001815,put,SynchronizedList
22,0.002138,put,SynchronizedList
23,0.006945,put,SynchronizedList
24,0.002138,put,SynchronizedList
25,0.001958,put,SynchronizedList
26,0.001932,put,SynchronizedList
27,0.002116,put,SynchronizedList
28,0.001921,put,SynchronizedList
29,0.001825,put,SynchronizedList
30,0.002078,put,SynchronizedList
31,0.002031,put,SynchronizedList
32,0.001797,put,SynchronizedList
33,0.001949,put,SynchronizedList
34,0.016693,put,SynchronizedList
35,0.001724,put,SynchronizedList
36,0.001871,put,SynchronizedList
37,0.001749,put,SynchronizedList
38,0.001787,put,SynchronizedList
39,0.001864,put,SynchronizedList
40,0.002068,put,SynchronizedList
41,0.002008,put,SynchronizedList
42,0.002035,put,SynchronizedList
43,0.001917,put,SynchronizedList
44,0.001887,put,SynchronizedList
45,0.001906,put,SynchronizedList
46,0.001956,put,SynchronizedList
47,0.00188,put,SynchronizedList
48,0.00194,put,SynchronizedList
49,0.001966,put,SynchronizedList
50,0.003977,put,SynchronizedList
51,0.002097,put,SynchronizedList
52,0.001836,put,SynchronizedList
53,0.001996,put,SynchronizedList
54,0.001963,put,SynchronizedList
55,0.002041,put,SynchronizedList
56,0.002093,put,SynchronizedList
57,0.001805,put,SynchronizedList
58,0.002049,put,SynchronizedList
59,0.001686,put,SynchronizedList
60,0.00186,put,SynchronizedList
61,0.002092,put,SynchronizedList
62,0.001898,put,SynchronizedList
63,0.001867,put,SynchronizedList
64,0.001968,put,SynchronizedList
65,0.002018,put,SynchronizedList
66,0.001954,put,SynchronizedList
67,0.001946,put,SynchronizedList
68,0.001856,put,SynchronizedList
69,0.001979,put,SynchronizedList
70,0.001947,put,SynchronizedList
71,0.001852,put,SynchronizedList
72,0.002008,put,SynchronizedList
73,0.001737,put,SynchronizedList
74,0.004126,put,SynchronizedList
75,0.001991,put,SynchronizedList
76,0.002025,put,SynchronizedList
