execucao, duracao, operacao, colecao
1,0.178966,put,concurrentHashMap
2,0.009343,put,concurrentHashMap
3,0.007907,put,concurrentHashMap
4,0.007666,put,concurrentHashMap
5,0.007107,put,concurrentHashMap
6,0.00757,put,concurrentHashMap
7,0.007538,put,concurrentHashMap
8,0.007471,put,concurrentHashMap
9,0.00736,put,concurrentHashMap
10,0.007248,put,concurrentHashMap
11,0.008262,put,concurrentHashMap
12,0.122829,put,concurrentHashMap
13,0.010221,put,concurrentHashMap
14,0.014203,put,concurrentHashMap
15,0.008059,put,concurrentHashMap
16,0.007598,put,concurrentHashMap
17,0.008176,put,concurrentHashMap
18,0.007795,put,concurrentHashMap
19,0.007669,put,concurrentHashMap
20,0.007893,put,concurrentHashMap
21,0.007688,put,concurrentHashMap
22,0.007447,put,concurrentHashMap
23,0.00792,put,concurrentHashMap
24,0.11511,put,concurrentHashMap
25,0.008373,put,concurrentHashMap
26,0.009735,put,concurrentHashMap
27,0.007785,put,concurrentHashMap
28,0.007247,put,concurrentHashMap
29,0.007033,put,concurrentHashMap
30,0.007346,put,concurrentHashMap
31,0.007255,put,concurrentHashMap
32,0.010911,put,concurrentHashMap
33,0.007557,put,concurrentHashMap
34,0.007453,put,concurrentHashMap
35,0.010639,put,concurrentHashMap
36,0.007478,put,concurrentHashMap
37,0.007141,put,concurrentHashMap
38,0.007294,put,concurrentHashMap
39,0.007465,put,concurrentHashMap
40,0.007246,put,concurrentHashMap
41,0.006846,put,concurrentHashMap
42,0.009671,put,concurrentHashMap
43,0.007423,put,concurrentHashMap
44,0.012687,put,concurrentHashMap
45,0.007754,put,concurrentHashMap
46,0.007257,put,concurrentHashMap
47,0.013201,put,concurrentHashMap
48,12.026797,put,concurrentHashMap
49,0.116114,put,concurrentHashMap
50,0.005719,put,concurrentHashMap
51,0.017347,put,concurrentHashMap
52,0.005731,put,concurrentHashMap
53,0.007183,put,concurrentHashMap
54,0.0064,put,concurrentHashMap
55,0.005128,put,concurrentHashMap
56,0.004972,put,concurrentHashMap
57,0.004511,put,concurrentHashMap
58,0.004377,put,concurrentHashMap
59,0.004697,put,concurrentHashMap
60,0.00538,put,concurrentHashMap
61,0.005004,put,concurrentHashMap
62,0.004521,put,concurrentHashMap
63,0.004132,put,concurrentHashMap
64,0.004484,put,concurrentHashMap
65,0.004683,put,concurrentHashMap
66,0.004277,put,concurrentHashMap
67,0.018102,put,concurrentHashMap
68,0.004667,put,concurrentHashMap
69,0.004149,put,concurrentHashMap
70,0.004247,put,concurrentHashMap
71,0.004272,put,concurrentHashMap
72,0.004164,put,concurrentHashMap
73,0.004509,put,concurrentHashMap
74,0.004415,put,concurrentHashMap
75,0.00506,put,concurrentHashMap
76,0.004947,put,concurrentHashMap
77,0.004719,put,concurrentHashMap
78,0.009514,put,concurrentHashMap
79,0.004702,put,concurrentHashMap
80,0.004409,put,concurrentHashMap
81,0.004613,put,concurrentHashMap
82,0.004521,put,concurrentHashMap
83,0.004777,put,concurrentHashMap
84,0.004661,put,concurrentHashMap
85,0.007185,put,concurrentHashMap
86,0.004707,put,concurrentHashMap
87,0.004718,put,concurrentHashMap
88,0.004401,put,concurrentHashMap
89,0.00466,put,concurrentHashMap
90,0.004442,put,concurrentHashMap
91,0.00445,put,concurrentHashMap
92,0.004848,put,concurrentHashMap
93,0.005555,put,concurrentHashMap
94,0.00682,put,concurrentHashMap
95,0.005986,put,concurrentHashMap
96,0.129865,put,concurrentHashMap
97,0.007625,put,concurrentHashMap
98,0.005192,put,concurrentHashMap
99,0.004599,put,concurrentHashMap
100,0.00483,put,concurrentHashMap
1,0.136565,get,concurrentHashMap
2,0.002978,get,concurrentHashMap
3,0.002361,get,concurrentHashMap
4,0.002187,get,concurrentHashMap
5,0.002463,get,concurrentHashMap
6,0.002465,get,concurrentHashMap
7,0.00231,get,concurrentHashMap
8,0.00222,get,concurrentHashMap
9,0.002019,get,concurrentHashMap
10,0.002488,get,concurrentHashMap
11,0.002358,get,concurrentHashMap
12,0.002413,get,concurrentHashMap
13,0.002214,get,concurrentHashMap
14,0.002196,get,concurrentHashMap
15,0.010128,get,concurrentHashMap
16,0.002716,get,concurrentHashMap
17,0.00279,get,concurrentHashMap
18,0.002348,get,concurrentHashMap
19,0.003964,get,concurrentHashMap
20,0.00237,get,concurrentHashMap
21,0.002305,get,concurrentHashMap
22,0.002335,get,concurrentHashMap
23,0.002424,get,concurrentHashMap
24,0.00252,get,concurrentHashMap
25,0.002357,get,concurrentHashMap
26,0.107275,get,concurrentHashMap
27,0.002333,get,concurrentHashMap
28,0.002014,get,concurrentHashMap
29,0.002401,get,concurrentHashMap
30,0.002317,get,concurrentHashMap
31,0.002162,get,concurrentHashMap
32,0.002375,get,concurrentHashMap
33,0.002542,get,concurrentHashMap
34,0.002924,get,concurrentHashMap
35,0.002621,get,concurrentHashMap
36,0.002469,get,concurrentHashMap
37,0.002357,get,concurrentHashMap
38,0.002562,get,concurrentHashMap
39,0.002786,get,concurrentHashMap
40,0.002416,get,concurrentHashMap
41,0.00221,get,concurrentHashMap
42,0.002424,get,concurrentHashMap
43,0.002403,get,concurrentHashMap
44,0.002341,get,concurrentHashMap
45,0.002425,get,concurrentHashMap
46,0.002588,get,concurrentHashMap
47,0.002238,get,concurrentHashMap
48,0.002525,get,concurrentHashMap
49,0.002439,get,concurrentHashMap
50,0.002332,get,concurrentHashMap
