execucao,bytes,linguagem
0,2456,go
1,1504,go
2,1312,go
3,1376,go
4,1504,go
5,1504,go
6,1312,go
7,1248,go
8,1312,go
9,1696,go
10,1312,go
11,1312,go
12,1184,go
13,1248,go
14,1376,go
15,1376,go
16,1248,go
17,1312,go
18,1376,go
19,1248,go
20,2272,go
21,1248,go
22,1248,go
23,1248,go
24,1376,go
25,1312,go
26,1312,go
27,1248,go
28,1248,go
29,1312,go
30,1312,go
31,1248,go
32,1312,go
33,1376,go
34,1248,go
35,1376,go
36,1248,go
37,1248,go
38,1376,go
39,1248,go
40,1312,go
41,3296,go
42,1312,go
43,1248,go
44,1312,go
45,1248,go
46,1248,go
47,1248,go
48,1248,go
49,1312,go
50,1248,go
51,1376,go
52,1376,go
53,1376,go
54,1376,go
55,1376,go
56,1312,go
57,1312,go
58,1248,go
59,1376,go
60,1312,go
61,1248,go
62,1312,go
63,1248,go
64,1248,go
65,1312,go
66,1248,go
67,128,go
68,32,go
69,96,go
70,32,go
71,160,go
72,96,go
73,160,go
74,160,go
75,96,go
76,160,go
77,96,go
78,96,go
79,224,go
80,32,go
81,96,go
82,992,go
83,1312,go
84,1248,go
85,1312,go
86,1248,go
87,1312,go
88,1312,go
89,1376,go
90,1248,go
91,1312,go
92,1248,go
93,1312,go
94,1312,go
95,1312,go
96,1376,go
97,1376,go
98,1376,go
99,5280,go
