execucao, bytes, linguagem
0, 943760, java
1, 943760, java
2, 943760, java
3, 943760, java
4, 943760, java
5, 943760, java
6, 943760, java
7, 943760, java
8, 943760, java
9, 943760, java
10, 943760, java
11, 943760, java
12, 943760, java
13, 943760, java
14, 943760, java
15, 943760, java
16, 943760, java
17, 943760, java
18, 943760, java
19, 943760, java
20, 943760, java
21, 943760, java
22, 943760, java
23, 943760, java
24, 943760, java
25, 943760, java
26, 943760, java
27, 943760, java
28, 943760, java
29, 943760, java
30, 943760, java
31, 943760, java
32, 943760, java
33, 943760, java
34, 943760, java
35, 943760, java
36, 943760, java
37, 943760, java
38, 943760, java
39, 943760, java
40, 943760, java
41, 943760, java
42, 943760, java
43, 943760, java
44, 943760, java
45, 1258704, java
46, 1258704, java
47, 1258704, java
48, 1258704, java
49, 1258704, java
50, 1258704, java
51, 1258704, java
52, 1258704, java
53, 1258704, java
54, 1258704, java
55, 1258704, java
56, 1258704, java
57, 1258704, java
58, 1258704, java
59, 1258704, java
60, 1258704, java
61, 1258704, java
62, 1258704, java
63, 1258704, java
64, 1258704, java
65, 1258704, java
66, 1258704, java
67, 1258704, java
68, 1258704, java
69, 1258704, java
70, 1258704, java
71, 1258704, java
72, 1258704, java
73, 1258704, java
74, 1258704, java
75, 1258704, java
76, 1258704, java
77, 1258704, java
78, 1258704, java
79, 1258704, java
80, 1258704, java
81, 1258704, java
82, 1258704, java
83, 1258704, java
84, 1258704, java
85, 1258704, java
86, 1258704, java
87, 1258704, java
88, 1258704, java
89, 1258704, java
90, 1258704, java
91, 1258704, java
92, 1258704, java
93, 1258704, java
94, 1258704, java
95, 1258704, java
96, 1258704, java
97, 1258704, java
98, 1258704, java
99, 1258704, java
